"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jaime Navarro","- - -","116","126","2","361","309","2055.1","4.87","3.02","0.94",".303","67.3 %","","","4.72","4.38","","22.9","1009465"
"Storm Davis","- - -","113","96","11","442","239","1780.2","5.30","3.47","0.69",".289","70.7 %","","","4.02","3.80","","22.8","1003080"
"Jim Abbott","- - -","87","108","0","263","254","1674.0","4.77","3.33","0.83",".295","70.0 %","","","4.25","4.25","","22.7","1000012"
"Ron Darling","- - -","136","116","0","382","364","2360.1","6.06","3.45","0.91",".277","72.0 %","","","3.87","4.03","","22.6","1002989"
"Matt Garza","- - -","93","106","1","290","284","1710.2","7.26","3.06","1.04",".291","70.6 %","42.6 %","10.3 %","4.09","4.11","4.14","22.6","3340"
"Bill Swift","- - -","94","78","27","403","220","1599.2","4.32","2.85","0.65",".293","69.4 %","","","3.95","3.94","","22.5","1012788"
"Andy Ashby","- - -","98","110","1","309","285","1810.2","5.83","2.68","1.02",".289","70.8 %","45.9 %","10.7 %","4.12","4.26","4.34","22.4","637"
"Hiroki Kuroda","- - -","79","79","0","212","211","1319.0","6.73","1.99","0.88",".281","72.7 %","48.6 %","10.1 %","3.45","3.61","3.61","22.4","3283"
"Rick Honeycutt","- - -","104","131","38","761","241","1996.2","4.38","2.69","0.75",".277","70.8 %","","","3.63","3.85","","22.3","1005992"
"Doug Davis","- - -","92","108","0","306","286","1715.2","6.71","4.11","0.94",".307","72.0 %","44.6 %","9.9 %","4.44","4.41","4.44","22.2","1244"
"Yu Darvish","- - -","63","53","0","170","170","1051.0","11.12","3.29","1.13",".288","76.4 %","41.8 %","13.9 %","3.57","3.51","3.30","22.2","13074"
"Ramon Martinez","- - -","135","88","0","301","297","1895.2","6.77","3.77","0.81",".271","72.3 %","","","3.67","4.01","","22.2","1008193"
"Woody Williams","- - -","132","116","0","424","330","2216.1","6.01","2.89","1.25",".276","74.2 %","37.6 %","9.6 %","4.19","4.63","4.64","22.1","1190"
"Josh Johnson","- - -","58","45","0","170","160","998.0","8.25","3.05","0.67",".302","74.2 %","47.1 %","8.2 %","3.40","3.32","3.57","21.8","4567"
"Wilson Alvarez","- - -","102","92","4","355","263","1747.2","6.85","4.15","0.98",".279","73.3 %","35.2 %","8.8 %","3.96","4.42","4.34","21.8","1193"
"Rick Mahler","- - -","96","111","6","392","271","1951.1","4.39","2.80","0.76",".291","70.1 %","","","3.99","3.87","","21.7","1007988"
"Jon Garland","- - -","136","125","1","365","342","2151.1","4.84","3.02","1.10",".286","70.8 %","45.3 %","10.8 %","4.37","4.69","4.57","21.6","232"
"Bronson Arroyo","- - -","148","137","1","419","383","2435.2","5.80","2.44","1.28",".282","72.2 %","40.8 %","11.3 %","4.28","4.60","4.41","21.6","978"
"Jarrod Washburn","- - -","107","109","1","312","300","1863.2","5.33","2.75","1.16",".273","73.8 %","36.2 %","8.8 %","4.10","4.60","4.86","21.6","40"
"Kirk McCaskill","- - -","106","108","7","380","242","1729.0","5.22","3.46","0.80",".287","70.4 %","","","4.12","4.04","","21.5","1008382"
"Jerry Koosman","- - -","82","72","12","236","181","1294.2","5.26","2.63","0.72",".297","70.8 %","","","3.88","3.52","","21.5","1007103"
"Ismael Valdez","- - -","104","105","1","325","288","1827.1","5.78","2.58","1.15",".283","73.3 %","38.5 %","12.1 %","4.09","4.41","4.97","21.5","1283"
"Yovani Gallardo","- - -","121","101","1","319","307","1816.2","7.85","3.52","1.02",".297","73.3 %","46.1 %","11.6 %","4.06","4.04","3.95","21.1","8173"
"Chan Ho Park","- - -","124","98","2","476","287","1993.0","7.74","4.11","1.04",".287","72.1 %","45.4 %","12.1 %","4.36","4.45","4.57","20.8","1267"
"Doug Fister","- - -","83","92","1","242","226","1422.1","6.14","2.10","0.89",".295","72.4 %","48.5 %","9.9 %","3.72","3.86","3.98","20.8","9425"
"Joe Blanton","- - -","101","97","2","427","252","1767.2","6.54","2.38","1.14",".303","71.2 %","43.7 %","11.0 %","4.38","4.16","4.10","20.8","4849"
"Jeff Suppan","- - -","140","146","0","448","417","2542.2","4.92","3.08","1.19",".297","70.7 %","45.9 %","11.7 %","4.70","4.86","4.66","20.8","633"
"J.A. Happ","- - -","121","90","0","315","289","1692.0","7.96","3.22","1.19",".287","74.8 %","40.1 %","11.4 %","3.99","4.21","4.22","20.7","7410"
"Moose Haas","- - -","88","67","1","222","212","1410.2","4.46","2.12","0.86",".285","70.3 %","","","3.92","3.71","","20.6","1005172"
"Tom Henke","- - -","41","42","311","642","0","789.2","9.81","2.91","0.73",".271","79.2 %","","","2.67","2.72","","20.6","1005649"
"Pete Harnisch","- - -","111","103","0","321","318","1959.0","6.28","3.29","1.02",".268","73.0 %","","","3.89","4.25","","20.6","1005374"
"Ben McDonald","- - -","78","70","0","211","198","1291.1","6.23","3.05","0.96",".268","71.7 %","","","3.91","4.08","","20.5","1008454"
"Patrick Corbin","- - -","70","61","2","205","187","1147.2","8.90","2.67","1.03",".307","73.5 %","49.0 %","13.5 %","3.80","3.62","3.52","20.4","9323"
"John Denny","- - -","80","73","0","209","209","1420.0","5.30","3.28","0.63",".284","71.3 %","","","3.71","3.61","","20.3","1003210"
"Chris Archer","- - -","60","80","0","212","210","1235.0","9.83","3.06","1.09",".301","72.6 %","44.7 %","13.1 %","3.86","3.65","3.54","20.2","6345"
"Jason Hammel","- - -","96","114","4","377","298","1810.1","7.10","2.82","1.15",".305","70.3 %","42.5 %","11.3 %","4.62","4.26","4.22","20.0","4538"
"Jeff Samardzija","- - -","80","104","1","360","237","1628.2","7.97","2.69","1.09",".289","71.0 %","43.0 %","11.6 %","4.09","3.94","3.98","20.0","3254"
"Joel Pineiro","- - -","104","93","2","335","263","1754.1","5.43","2.50","0.99",".298","70.1 %","49.2 %","11.0 %","4.41","4.21","4.17","19.9","1094"
"Charlie Morton","- - -","91","87","0","250","249","1401.1","7.93","3.26","0.76",".306","70.2 %","53.4 %","11.3 %","4.07","3.79","3.82","19.9","4676"
"Steve Trachsel","- - -","143","159","0","420","417","2501.0","5.73","3.39","1.25",".285","72.9 %","41.6 %","10.0 %","4.39","4.84","5.12","19.9","898"
"Wandy Rodriguez","- - -","97","98","0","275","263","1557.1","7.40","3.09","1.07",".298","71.6 %","44.6 %","11.3 %","4.10","4.13","3.99","19.9","2586"
"Frank Castillo","- - -","82","104","2","297","268","1595.1","6.21","2.85","1.07",".293","68.8 %","41.9 %","9.4 %","4.56","4.26","4.52","19.8","180"
"Darren Oliver","- - -","118","98","7","766","229","1915.2","5.91","3.38","1.01",".301","70.9 %","45.2 %","9.9 %","4.51","4.53","4.14","19.8","206"
"Glendon Rusch","- - -","67","99","4","342","220","1477.1","6.63","2.80","1.16",".326","68.8 %","41.4 %","11.2 %","5.04","4.29","4.27","19.8","707"
"Dave Burba","- - -","115","87","3","511","234","1777.2","7.08","3.86","1.02",".296","70.7 %","40.9 %","8.2 %","4.49","4.36","4.77","19.6","1239"
"Mat Latos","- - -","71","59","0","197","189","1153.1","7.89","2.75","0.91",".282","72.9 %","43.4 %","9.3 %","3.64","3.61","3.78","19.6","3815"
"John Thomson","- - -","63","85","0","216","212","1270.1","5.67","2.61","1.09",".302","67.2 %","43.1 %","10.5 %","4.68","4.32","4.22","19.6","453"
"Pascual Perez","- - -","67","68","0","207","193","1244.1","5.95","2.49","0.77",".275","71.8 %","","","3.44","3.44","","19.6","1010185"
"Steve Avery","- - -","96","83","0","297","261","1554.2","5.67","3.29","0.86",".283","69.1 %","53.6 %","31.3 %","4.19","4.12","5.05","19.6","1706"
"Joe Nathan","- - -","64","34","377","787","29","923.1","9.51","3.35","0.82",".259","78.8 %","38.0 %","7.1 %","2.87","3.36","3.22","19.5","1122"
"Orlando Hernandez","- - -","90","65","2","219","211","1314.2","7.43","3.28","1.21",".268","73.4 %","37.0 %","10.3 %","4.13","4.45","4.41","19.5","823"
"Matt Clement","- - -","87","86","0","238","236","1412.2","7.75","4.14","0.92",".289","70.0 %","49.3 %","12.1 %","4.47","4.24","3.86","19.4","271"
"Aroldis Chapman","- - -","33","26","273","550","0","535.2","14.84","4.17","0.45",".282","79.8 %","43.2 %","7.7 %","2.23","2.01","2.36","19.4","10233"
"Scott McGregor","Orioles","120","89","0","289","270","1779.0","3.79","2.21","1.05",".276","71.9 %","","","4.05","4.18","","19.4","1008546"
"Jonathan Papelbon","- - -","41","36","368","689","3","725.2","10.02","2.29","0.71",".278","79.4 %","39.0 %","7.2 %","2.44","2.81","3.27","19.4","5975"
"Rick Reed","- - -","93","76","1","273","245","1545.2","5.65","1.66","1.24",".284","72.4 %","40.0 %","12.0 %","4.03","4.21","4.36","19.3","750"
"Chad Billingsley","- - -","83","64","0","226","197","1212.1","7.81","3.70","0.68",".304","73.6 %","46.3 %","7.7 %","3.72","3.70","4.02","19.3","5842"
"Kyle Hendricks","Cubs","63","43","0","163","162","966.0","7.62","2.03","0.88",".278","76.0 %","47.5 %","10.9 %","3.14","3.53","3.76","19.2","12049"
"Rick Aguilera","- - -","86","81","318","732","89","1291.1","7.18","2.45","0.96",".285","73.7 %","","","3.57","3.62","","19.2","1000086"
"Britt Burns","White Sox","70","58","3","191","159","1086.2","6.05","2.97","0.75",".279","72.1 %","","","3.59","3.51","","19.1","1001702"
"Melido Perez","- - -","78","85","1","243","201","1354.2","7.25","3.66","0.96",".285","69.5 %","","","4.17","3.90","","19.1","1010183"
"Steve Trout","- - -","85","92","4","297","233","1479.0","3.92","3.45","0.55",".304","69.1 %","","","4.18","3.88","","19.0","1013197"
"C.J. Wilson","- - -","94","70","52","444","192","1430.1","7.92","3.79","0.74",".290","71.8 %","48.6 %","9.2 %","3.74","3.82","3.93","19.0","3580"
"Noah Syndergaard","Mets","47","30","0","119","118","716.0","9.74","2.09","0.79",".314","73.4 %","49.1 %","10.9 %","3.31","2.92","3.17","18.8","11762"
"Kenley Jansen","Dodgers","30","21","301","605","0","611.2","13.29","2.34","0.84",".268","82.2 %","34.1 %","9.8 %","2.35","2.26","2.53","18.8","3096"
"Sidney Ponson","- - -","91","113","1","298","278","1760.1","5.27","3.11","1.14",".309","68.5 %","51.3 %","11.3 %","5.03","4.67","4.44","18.7","161"
"Dan Petry","- - -","125","104","1","370","300","2080.1","4.60","3.69","0.94",".264","72.1 %","","","3.95","4.39","","18.7","1010246"
"Mark Mulder","- - -","103","60","0","205","203","1314.0","5.71","2.82","0.97",".294","71.6 %","55.2 %","13.7 %","4.18","4.23","3.97","18.7","932"
"Tom Seaver","- - -","92","78","0","233","230","1543.1","5.16","2.93","0.86",".258","72.4 %","","","3.59","3.86","","18.5","1011708"
"R.A. Dickey","- - -","120","118","2","400","300","2073.2","6.41","2.88","1.15",".281","73.3 %","45.1 %","11.5 %","4.04","4.41","4.31","18.5","1245"
"Joe Niekro","- - -","126","107","0","302","297","1977.1","4.57","3.32","0.62",".266","71.3 %","","","3.48","3.78","","18.5","1009582"
"Sonny Gray","- - -","70","60","0","186","177","1076.0","8.31","3.15","0.87",".280","73.1 %","52.9 %","12.2 %","3.53","3.69","3.70","18.4","12768"
"Dallas Keuchel","- - -","84","71","0","211","202","1302.0","7.16","2.64","0.91",".293","73.9 %","58.9 %","15.2 %","3.67","3.80","3.52","18.4","9434"
"Dennis Lamp","- - -","89","79","35","591","124","1577.0","4.41","2.77","0.59",".299","68.6 %","","","3.97","3.59","","18.4","1007284"
"Rich Gossage","- - -","74","51","227","679","0","957.1","7.61","3.16","0.63",".272","77.4 %","","","2.86","3.11","","18.3","1004894"
"Mike Leake","- - -","105","98","0","301","296","1829.0","6.06","1.98","1.17",".296","72.5 %","50.4 %","14.1 %","4.05","4.24","3.95","18.2","10130"
"Bud Black","- - -","121","116","11","398","296","2053.1","4.55","2.73","0.95",".263","71.1 %","","","3.84","4.15","","18.2","1001007"
"Masahiro Tanaka","Yankees","75","43","0","164","163","1006.1","8.47","1.79","1.34",".282","74.6 %","47.7 %","16.1 %","3.75","3.88","3.49","18.1","15764"
"Robb Nen","- - -","45","42","314","643","4","715.0","9.98","3.27","0.64",".297","75.8 %","46.6 %","3.3 %","2.98","2.92","2.76","18.1","1123"
"Walt Terrell","- - -","111","124","0","321","294","1986.2","4.21","3.39","0.85",".285","70.6 %","","","4.22","4.26","","18.1","1012924"
"Odalis Perez","- - -","73","82","0","252","221","1335.0","6.20","2.62","1.09",".298","70.1 %","47.7 %","12.3 %","4.46","4.21","3.96","18.0","668"
"Shawn Estes","- - -","101","93","0","283","281","1678.1","6.49","4.60","0.85",".303","69.7 %","50.9 %","13.3 %","4.71","4.50","4.70","18.0","873"
"Cory Lidle","- - -","82","72","2","277","199","1322.2","5.70","2.42","1.08",".293","67.5 %","48.8 %","13.0 %","4.57","4.28","4.04","17.8","926"
"Brett Myers","- - -","97","96","40","381","252","1710.0","7.26","2.93","1.30",".292","74.0 %","47.6 %","14.5 %","4.25","4.41","3.87","17.8","962"
"Phil Hughes","- - -","88","79","3","290","211","1291.0","7.25","2.18","1.33",".304","71.5 %","34.1 %","10.7 %","4.52","4.22","4.22","17.7","7450"
"Edwin Jackson","- - -","107","133","1","412","318","1960.0","6.92","3.58","1.14",".308","69.3 %","43.3 %","11.2 %","4.78","4.48","4.41","17.7","1841"
"Jake Westbrook","- - -","105","103","0","315","273","1747.2","4.97","2.94","0.76",".301","69.2 %","58.7 %","11.5 %","4.32","4.17","4.06","17.7","412"
"Jose Contreras","- - -","78","67","9","299","175","1173.0","6.82","3.28","1.01",".292","67.8 %","46.0 %","10.2 %","4.57","4.29","4.32","17.6","1660"
"La Marr Hoyt","- - -","98","68","10","244","172","1311.1","4.67","1.91","0.96",".273","68.8 %","","","3.99","3.76","","17.6","1006114"
"John Danks","White Sox","79","104","0","247","247","1503.1","6.60","2.94","1.18",".291","71.7 %","41.7 %","10.8 %","4.38","4.41","4.31","17.5","6329"
"Vicente Padilla","- - -","108","91","6","386","237","1571.1","6.42","3.16","1.04",".295","71.8 %","46.2 %","11.3 %","4.32","4.41","4.36","17.5","964"
"Jason Vargas","- - -","99","99","0","298","277","1643.0","6.28","2.78","1.18",".285","72.7 %","37.9 %","9.8 %","4.29","4.43","4.66","17.5","8044"
"Shane Rawley","- - -","107","109","36","417","228","1760.0","4.73","3.49","0.75",".289","71.8 %","","","4.01","3.99","","17.5","1010719"
"Arthur Rhodes","- - -","87","70","33","901","61","1187.2","8.73","3.91","0.95",".284","72.4 %","39.8 %","7.8 %","4.08","3.83","3.73","17.4","1097"
"Trevor Bauer","- - -","70","60","1","194","184","1117.0","9.50","3.52","1.06",".298","73.2 %","42.0 %","11.9 %","4.04","3.92","4.00","17.4","12703"
"Bob Knepper","- - -","117","133","1","378","347","2257.0","4.84","2.76","0.81",".287","71.1 %","","","3.82","3.82","","17.2","1007031"
"Aaron Nola","Phillies","53","35","0","127","127","771.1","9.64","2.74","0.97",".292","75.8 %","50.6 %","13.7 %","3.49","3.45","3.43","17.2","16149"
"Geoff Zahn","- - -","79","67","0","187","180","1231.2","3.24","2.40","0.76",".283","70.4 %","","","3.78","3.92","","17.2","1014410"
"Brian Moehler","- - -","84","107","1","332","252","1567.1","4.93","2.61","1.14",".309","69.8 %","44.6 %","11.5 %","4.81","4.60","4.52","17.2","480"
"Eric Milton","- - -","89","85","0","271","270","1582.1","6.41","2.58","1.52",".283","68.5 %","30.9 %","11.5 %","4.99","4.78","4.78","17.1","743"
"James Paxton","- - -","56","32","0","131","131","733.0","9.86","2.74","0.95",".304","73.6 %","45.1 %","11.3 %","3.50","3.28","3.50","17.1","11828"
"Craig Kimbrel","- - -","31","23","346","565","0","553.1","14.61","3.53","0.72",".261","84.4 %","39.8 %","10.9 %","2.08","2.19","2.26","17.0","6655"
"Jim Beattie","- - -","46","78","1","178","160","1020.1","5.25","3.62","0.71",".295","70.2 %","","","4.23","3.85","","17.0","1000731"
"Dan Plesac","- - -","65","71","158","1064","14","1072.0","8.74","3.38","0.88",".293","73.5 %","31.1 %","11.3 %","3.64","3.46","3.68","16.9","1319"
"Tom Browning","- - -","123","90","0","302","300","1921.0","4.69","2.39","1.11",".270","72.8 %","","","3.94","4.21","","16.9","1001566"
"Aaron Cook","- - -","76","79","0","256","224","1406.1","3.70","2.75","0.81",".306","69.0 %","57.5 %","10.8 %","4.60","4.46","4.41","16.9","1571"
"Dontrelle Willis","- - -","72","69","0","205","202","1221.2","6.60","3.68","0.84",".303","72.6 %","45.9 %","9.3 %","4.17","4.22","4.37","16.8","1703"
"Bob Stanley","Red Sox","92","88","119","544","69","1414.1","3.89","2.51","0.62",".296","70.8 %","","","3.70","3.70","","16.8","1012409"
"Joey Hamilton","- - -","74","73","1","242","209","1340.2","6.00","3.31","0.87",".302","69.7 %","52.2 %","12.7 %","4.44","4.27","4.09","16.7","328"
"Don Robinson","- - -","95","100","56","489","197","1730.0","5.81","3.05","0.81",".283","71.6 %","","","3.83","3.70","","16.7","1011061"
"Jose Guzman","- - -","80","74","0","193","186","1224.1","6.53","3.54","0.95",".286","71.4 %","","","4.05","4.00","","16.6","1005160"
"Ian Kennedy","- - -","97","103","30","354","289","1767.1","8.32","3.04","1.25",".288","74.1 %","37.0 %","11.5 %","4.09","4.22","4.17","16.5","6986"
"Paul Maholm","- - -","77","100","0","273","250","1556.1","5.69","2.95","0.86",".306","70.9 %","52.2 %","10.7 %","4.30","4.22","4.16","16.5","8678"
"Rich Harden","- - -","59","38","0","170","160","928.1","9.20","4.09","1.02",".279","74.8 %","38.8 %","10.5 %","3.76","3.95","3.92","16.5","1772"
"Richard Dotson","- - -","111","113","0","305","295","1857.1","4.71","3.59","0.94",".278","71.1 %","","","4.23","4.33","","16.4","1003424"
"Justin Masterson","- - -","64","74","0","258","184","1201.0","7.52","3.73","0.73",".308","70.1 %","56.3 %","10.6 %","4.31","3.94","3.89","16.4","2038"
"Homer Bailey","- - -","80","86","0","243","243","1393.2","7.43","2.97","1.12",".306","70.4 %","44.5 %","12.1 %","4.57","4.20","4.08","16.4","8362"
"Brett Tomko","- - -","100","103","2","397","266","1816.0","5.99","2.88","1.26",".286","69.7 %","42.2 %","11.5 %","4.65","4.60","4.46","16.4","1056"
"Mark Prior","Cubs","42","29","0","106","106","657.0","10.37","3.05","1.05",".300","76.8 %","37.4 %","11.0 %","3.51","3.41","3.38","16.3","301"
"Francisco Rodriguez","- - -","52","53","437","948","0","976.0","10.53","3.59","0.90",".271","80.3 %","43.1 %","10.8 %","2.86","3.31","3.30","16.3","1642"
"Jeff Francis","- - -","72","82","1","254","217","1291.0","6.06","2.68","1.12",".315","69.1 %","44.6 %","10.8 %","4.97","4.39","4.31","16.2","4684"
"Jhoulys Chacin","- - -","77","87","0","255","226","1319.0","7.26","3.64","0.96",".281","72.4 %","46.6 %","11.2 %","4.03","4.22","4.29","16.2","2608"
"Joaquin Andujar","- - -","102","93","8","316","242","1711.1","4.46","2.81","0.70",".266","71.6 %","","","3.58","3.76","","16.2","1000266"
"Clay Buchholz","- - -","90","69","0","236","218","1332.1","6.92","3.09","0.94",".288","71.6 %","47.1 %","10.1 %","3.98","4.07","4.20","16.2","3543"
"John Franco","- - -","90","87","424","1119","0","1245.2","7.04","3.58","0.59",".290","77.5 %","54.4 %","14.5 %","2.89","3.45","4.29","16.1","874"
"John Wetteland","- - -","48","45","330","618","17","765.0","9.46","2.96","0.86",".272","76.4 %","","","2.93","3.20","","16.1","1013815"
"Brandon McCarthy","- - -","69","75","0","255","197","1223.2","6.68","2.38","1.07",".299","70.8 %","43.4 %","10.9 %","4.20","4.03","3.99","16.0","4662"
