"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Robbie Ray","- - -","77","73","0","233","229","1258.2","11.07","3.83","1.39",".301","77.2%","39.2%","15.6%","94.0","3.98","","4.09","3.75","17.1","11486","592662"
"Odalis Perez","- - -","69","75","0","224","204","1231.1","6.09","2.42","1.09",".297","70.6%","47.7%","12.3%","89.1","4.34","","4.16","3.97","17.1","668","136602"
"Cory Lidle","- - -","74","70","0","218","196","1236.0","5.68","2.43","1.11",".292","67.3%","48.8%","13.0%","","4.62","","4.32","4.05","17.0","926","117756"
"Matt Clement","- - -","75","74","0","203","203","1218.1","7.90","4.11","0.93",".285","70.3%","49.3%","12.1%","","4.46","","4.22","3.87","17.0","271","136725"
"Chris Bassitt","- - -","72","56","0","200","187","1108.1","8.32","2.90","0.98",".288","75.8%","43.2%","10.5%","93.5","3.59","","3.94","4.24","16.9","12304","605135"
"Aaron Cook","- - -","76","79","0","256","224","1406.1","3.70","2.75","0.81",".306","69.0%","57.5%","10.8%","91.0","4.60","","4.46","4.41","16.9","1571","346871"
"Dontrelle Willis","- - -","72","69","0","205","202","1221.2","6.60","3.68","0.84",".303","72.6%","45.9%","9.3%","89.2","4.17","","4.22","4.38","16.8","1703","425883"
"Glendon Rusch","- - -","55","74","3","279","169","1147.1","6.86","2.78","1.10",".326","69.5%","41.4%","11.2%","89.2","4.82","","4.12","4.28","16.8","707","121556"
"Pablo Lopez","- - -","54","49","0","158","158","889.1","9.32","2.34","1.10",".299","73.3%","46.2%","13.3%","94.2","3.91","","3.65","3.58","16.7","17085","641154"
"Paul Maholm","- - -","77","100","0","273","250","1556.1","5.69","2.95","0.86",".306","70.9%","52.2%","10.7%","89.6","4.30","","4.22","4.16","16.5","8678","430904"
"Homer Bailey","- - -","81","86","0","245","245","1401.2","7.43","2.97","1.12",".306","70.4%","44.4%","12.1%","93.8","4.56","","4.20","4.08","16.5","8362","456701"
"Zac Gallen","- - -","53","37","0","143","143","815.1","9.77","2.85","0.95",".281","76.6%","43.8%","11.4%","93.6","3.29","","3.45","3.62","16.5","19291","668678"
"Rich Harden","- - -","59","38","0","170","160","928.1","9.20","4.09","1.02",".279","74.8%","38.8%","10.5%","92.4","3.76","","3.95","3.93","16.5","1772","425848"
"Sandy Alcantara","- - -","41","55","0","146","138","900.2","7.88","2.73","0.91",".272","73.6%","50.4%","11.4%","97.2","3.32","","3.77","4.00","16.5","18684","645261"
"Framber Valdez","HOU","68","41","0","157","135","888.2","8.77","3.25","0.73",".282","74.2%","62.5%","15.7%","93.5","3.30","","3.54","3.34","16.4","17295","664285"
"Justin Masterson","- - -","64","74","0","258","184","1201.0","7.52","3.73","0.73",".308","70.1%","56.3%","10.6%","93.0","4.31","","3.94","3.89","16.4","2038","475416"
"Martin Perez","- - -","90","87","0","314","269","1575.2","6.33","3.24","1.06",".309","71.0%","48.7%","12.2%","93.3","4.44","","4.45","4.50","16.3","6902","527048"
"Danny Duffy","KCR","68","68","1","234","204","1172.1","8.05","3.32","1.11",".293","75.2%","36.4%","10.1%","93.9","3.95","","4.17","4.53","16.3","3542","518633"
"Zach Eflin","- - -","62","62","1","186","174","1002.1","7.83","1.87","1.29",".297","71.5%","44.0%","13.3%","93.9","4.17","","4.03","4.00","16.3","13774","621107"
"Mark Prior","CHC","42","29","0","106","106","657.0","10.37","3.05","1.05",".300","76.8%","37.4%","11.0%","","3.51","","3.41","3.39","16.3","301","407578"
"Francisco Rodriguez","- - -","52","53","437","948","0","976.0","10.53","3.59","0.90",".271","80.3%","43.1%","10.8%","92.2","2.86","","3.31","3.30","16.3","1642","408061"
"Jeff Francis","- - -","72","82","1","254","217","1291.0","6.06","2.68","1.12",".315","69.1%","44.6%","10.8%","86.8","4.97","","4.39","4.32","16.2","4684","433585"
"Billy Wagner","- - -","30","26","321","629","0","650.0","11.10","2.66","0.83",".256","81.6%","42.4%","9.6%","95.9","2.30","","2.82","2.76","16.2","578","123790"
"Al Leiter","- - -","72","61","0","186","179","1096.1","7.12","3.94","0.85",".283","73.7%","41.4%","8.4%","","3.78","","4.16","4.85","16.2","883","117652"
"Sidney Ponson","- - -","71","92","0","235","226","1415.1","5.30","3.10","1.07",".311","67.9%","51.3%","11.3%","91.8","5.05","","4.56","4.45","16.1","161","132260"
"Clay Buchholz","- - -","90","69","0","236","218","1332.1","6.92","3.09","0.94",".288","71.6%","47.1%","10.1%","93.0","3.98","","4.07","4.20","16.1","3543","453329"
"Woody Williams","- - -","92","70","0","225","221","1394.2","5.83","2.50","1.21",".278","73.8%","37.6%","9.6%","87.1","4.10","","4.49","4.65","16.1","1190","124315"
"Brandon Woodruff","MIL","46","26","1","130","115","680.1","10.42","2.33","0.99",".277","78.3%","42.8%","12.1%","96.1","3.10","","3.19","3.33","16.1","16162","605540"
"Luis Severino","- - -","65","44","0","172","156","909.1","9.39","2.72","1.19",".289","74.1%","45.4%","14.1%","96.9","3.81","","3.82","3.62","16.1","15890","622663"
"Brandon McCarthy","- - -","69","75","0","255","197","1223.2","6.68","2.38","1.07",".299","70.8%","43.4%","10.9%","91.5","4.20","","4.03","3.99","16.0","4662","435221"
"Sean Manaea","- - -","77","62","1","228","198","1184.1","8.43","2.55","1.20",".284","72.0%","42.0%","12.5%","92.0","4.00","","4.01","4.04","16.0","15873","640455"
"Matt Harvey","- - -","50","66","0","180","172","966.1","8.07","2.55","1.15",".302","70.6%","43.6%","12.5%","95.3","4.42","","3.96","3.96","16.0","11713","518774"
"Mark Redman","- - -","67","85","0","214","202","1226.0","5.40","2.94","1.01",".302","68.1%","42.4%","8.8%","84.5","4.82","","4.39","4.68","16.0","491","150230"
"Gavin Floyd","- - -","74","76","0","243","196","1250.0","7.09","2.99","1.15",".290","70.6%","44.8%","11.8%","92.2","4.37","","4.34","4.12","16.0","3886","425856"
"Jhoulys Chacin","- - -","85","91","0","338","227","1435.2","7.22","3.67","0.98",".281","71.4%","46.2%","11.3%","91.3","4.18","","4.27","4.34","16.0","2608","468504"
"Jeremy Bonderman","- - -","69","81","0","225","200","1231.0","7.03","3.15","1.13",".305","67.3%","46.3%","11.7%","91.0","4.91","","4.31","4.14","15.9","1667","425827"
"Jake Odorizzi","- - -","74","69","1","241","237","1253.1","8.42","3.07","1.23",".278","73.9%","33.2%","10.5%","92.0","3.99","","4.16","4.48","15.8","6397","543606"
"Brett Anderson","- - -","67","74","3","222","210","1140.1","6.09","2.40","0.91",".306","70.5%","56.9%","12.8%","92.5","4.07","","3.97","3.88","15.8","8223","474463"
"Chris Capuano","- - -","77","92","0","316","225","1429.2","7.55","2.91","1.23",".302","72.1%","41.2%","11.7%","83.6","4.38","","4.29","4.10","15.7","1701","425626"
"Collin McHugh","- - -","71","47","1","346","127","992.2","8.77","2.54","0.96",".303","74.0%","41.1%","10.3%","91.4","3.72","","3.58","3.83","15.6","7531","543521"
"Scott Baker","- - -","66","53","0","193","172","1064.2","7.09","2.07","1.23",".297","72.8%","33.4%","9.7%","91.9","4.26","","4.07","4.12","15.5","6176","435044"
"Jeff Suppan","- - -","120","121","0","360","342","2097.2","4.88","3.14","1.19",".295","71.6%","45.9%","11.7%","87.8","4.58","","4.89","4.67","15.5","633","122987"
"Zach Duke","- - -","69","91","4","570","169","1360.0","5.65","2.77","0.87",".318","71.1%","50.2%","10.2%","88.9","4.31","","4.15","4.17","15.4","3840","435043"
"Joakim Soria","- - -","36","45","229","773","1","763.0","9.80","2.72","0.79",".284","76.8%","42.4%","9.0%","92.3","3.11","","3.12","3.44","15.4","6941","465657"
"Rafael Betancourt","- - -","38","37","75","680","0","685.2","9.50","2.15","0.93",".287","73.6%","29.5%","7.6%","92.5","3.36","","3.05","3.55","15.3","177","429783"
"Gil Meche","- - -","76","79","0","242","228","1346.2","6.70","3.59","1.12",".294","71.1%","41.7%","10.7%","92.9","4.47","","4.49","4.48","15.2","1089","219194"
"Jorge De La Rosa","- - -","104","87","1","430","241","1522.2","7.52","4.07","1.05",".299","70.7%","47.0%","12.1%","92.8","4.58","","4.44","4.25","15.1","2047","407822"
"Walker Buehler","LAD","47","22","0","131","122","713.2","9.51","2.40","1.06",".273","75.1%","45.4%","12.9%","96.1","3.27","","3.50","3.58","15.0","19374","621111"
"Ian Kennedy","- - -","104","114","66","497","290","1904.1","8.39","3.06","1.32",".287","74.1%","36.2%","12.0%","91.9","4.16","","4.31","4.21","15.0","6986","453178"
"Kenta Maeda","- - -","68","56","6","219","172","978.2","9.63","2.57","1.30",".285","71.4%","39.7%","13.7%","91.5","4.17","","3.88","3.82","15.0","18498","628317"
"Carlos Martinez","STL","62","52","31","274","139","967.0","8.63","3.47","0.75",".300","73.4%","52.8%","10.7%","96.6","3.74","","3.66","3.86","15.0","11682","593372"
"Jordan Montgomery","- - -","46","41","1","166","161","872.0","8.13","2.59","1.07",".299","72.4%","43.4%","11.4%","92.5","4.03","","3.85","4.04","14.9","16511","656756"
"Lance McCullers Jr.","HOU","49","32","0","130","127","718.2","10.02","3.71","0.71",".299","74.4%","55.1%","11.8%","94.8","3.48","","3.35","3.44","14.9","14120","621121"
"Miles Mikolas","- - -","64","64","0","210","182","1096.0","6.53","1.72","1.13",".289","70.5%","44.5%","11.8%","93.7","4.16","","4.06","4.15","14.8","9803","571945"
"Tyler Anderson","- - -","60","64","0","205","197","1122.2","7.54","2.87","1.25",".284","72.2%","37.9%","11.5%","90.9","4.26","","4.35","4.54","14.7","12880","542881"
"Jaime Garcia","- - -","70","62","0","218","188","1135.0","7.33","2.93","0.87",".301","70.9%","55.3%","12.1%","90.5","3.85","","3.77","3.69","14.5","8137","448802"
"Jose Fernandez","MIA","38","17","0","76","76","471.1","11.25","2.67","0.59",".292","77.2%","43.0%","8.5%","96.2","2.58","","2.44","2.72","14.5","11530","605228"
"Seth Lugo","- - -","56","40","16","334","97","847.2","8.80","2.35","1.01",".286","76.0%","44.3%","11.4%","93.4","3.38","","3.57","3.76","14.3","12447","607625"
"Freddy Peralta","MIL","53","36","1","178","129","754.1","11.32","3.51","1.16",".270","73.6%","36.3%","12.0%","93.5","3.79","","3.67","3.78","14.2","18679","642547"
"Mike Clevinger","- - -","60","42","0","156","142","804.0","9.17","3.26","1.10",".280","78.2%","37.2%","10.9%","94.0","3.51","","3.92","4.22","14.2","12808","605182"
"Julio Urias","LAD","60","25","4","158","122","717.0","8.91","2.42","1.05",".271","77.7%","39.2%","10.4%","93.7","3.11","","3.64","4.02","14.1","14765","628711"
"Octavio Dotel","- - -","51","47","109","739","20","865.2","11.00","3.77","1.09",".282","75.5%","32.6%","9.7%","92.8","3.62","","3.58","3.60","14.1","555","136734"
"Tanner Roark","- - -","76","68","1","227","184","1155.0","7.29","2.64","1.11",".289","75.0%","43.6%","12.0%","92.3","3.85","","4.17","4.24","14.0","8753","543699"
"Raisel Iglesias","- - -","38","49","224","530","21","668.2","10.71","2.50","1.01",".274","78.4%","40.4%","12.0%","95.4","2.87","","3.19","3.29","13.9","17130","628452"
"Paul Byrd","- - -","82","77","0","218","212","1318.2","4.67","1.75","1.32",".292","69.8%","37.1%","10.0%","86.1","4.46","","4.63","4.65","13.9","594","111838"
"Mike Pelfrey","- - -","68","103","1","275","256","1476.1","5.11","3.30","0.85",".314","70.1%","48.7%","9.1%","93.4","4.68","","4.46","4.67","13.8","5203","460059"
"Lucas Giolito","- - -","61","62","0","180","178","1013.2","9.56","3.42","1.47",".278","72.3%","38.5%","15.1%","93.5","4.43","","4.44","4.18","13.8","15474","608337"
"Colby Lewis","- - -","77","72","0","233","195","1215.0","7.12","2.79","1.32",".294","69.9%","35.5%","10.8%","89.8","4.70","","4.47","4.42","13.7","1259","407890"
"Liam Hendriks","- - -","33","34","116","476","44","650.0","10.07","2.20","1.07",".314","70.9%","38.8%","10.9%","95.4","3.82","","3.26","3.47","13.7","3548","521230"
"Wade Davis","- - -","63","55","141","557","88","990.1","8.44","3.54","0.95",".288","73.3%","39.5%","9.4%","93.8","3.94","","3.86","4.07","13.7","7441","451584"
"Tyler Glasnow","- - -","39","33","0","149","110","663.2","11.47","3.35","1.14",".284","72.3%","47.4%","15.4%","96.6","3.81","","3.44","3.20","13.7","14374","607192"
"John Thomson","- - -","47","55","0","149","146","880.1","5.66","2.38","1.09",".294","67.4%","43.1%","10.5%","89.5","4.42","","4.22","4.23","13.5","453","123307"
"Garrett Richards","- - -","55","50","6","259","152","984.0","7.80","3.33","0.85",".291","69.8%","51.0%","11.1%","95.7","3.87","","3.82","3.89","13.4","9784","572070"
"Mike Hampton","- - -","78","72","0","211","201","1225.1","5.04","3.75","0.90",".300","69.8%","50.9%","11.1%","89.2","4.54","","4.55","4.55","13.4","430","115399"
"Jack Flaherty","- - -","55","41","0","159","153","829.2","10.22","3.17","1.21",".282","77.3%","41.0%","14.8%","93.7","3.63","","3.91","3.73","13.4","17479","656427"
"Eric Gagne","- - -","32","25","187","397","43","613.2","10.09","3.09","1.07",".277","75.4%","40.0%","9.4%","92.9","3.53","","3.57","2.57","13.4","650","150378"
"Edwin Diaz","- - -","22","33","225","458","0","453.0","14.72","3.20","0.99",".312","79.2%","41.4%","14.1%","98.0","3.00","","2.60","2.52","13.4","14710","621242"
"Derek Holland","- - -","82","83","0","346","228","1466.0","7.62","3.27","1.35",".297","70.9%","41.5%","13.2%","93.4","4.62","","4.55","4.33","13.4","4141","502706"
"Ivan Nova","- - -","90","77","1","240","227","1347.2","6.43","2.46","1.24",".305","73.0%","48.9%","14.2%","93.4","4.38","","4.45","4.21","13.3","1994","467100"
"Trevor Hoffman","- - -","25","47","373","596","0","580.1","8.58","2.22","0.84",".268","75.5%","34.2%","6.4%","86.0","3.02","","3.16","3.79","13.3","1035","116034"
"Kyle Freeland","COL","60","73","0","205","200","1097.2","6.72","2.90","1.30",".308","73.5%","45.2%","13.3%","91.6","4.48","","4.63","4.58","13.2","16256","607536"
"Julio Teheran","- - -","81","82","0","255","248","1470.2","7.71","3.01","1.24",".269","75.3%","38.1%","11.8%","91.6","3.85","","4.38","4.43","13.1","6797","527054"
"Chris Young","- - -","79","67","1","271","221","1297.2","7.37","3.48","1.29",".255","75.5%","27.2%","9.1%","86.9","3.95","","4.59","4.89","13.0","3196","432934"
"Wade Miller","- - -","62","45","0","146","146","884.0","7.54","3.79","1.06",".283","73.3%","42.5%","9.9%","","4.03","","4.25","4.31","12.9","568","150063"
"Andrew Miller","- - -","55","55","63","612","66","829.0","10.63","4.16","0.87",".308","71.7%","46.5%","11.7%","93.4","4.03","","3.63","3.58","12.8","6785","453192"
"Miguel Batista","- - -","91","98","40","542","212","1637.0","5.66","4.08","0.92",".292","70.5%","49.0%","9.3%","92.0","4.46","","4.63","4.66","12.8","46","110683"
"Chan Ho Park","- - -","77","65","2","325","180","1269.1","7.46","4.01","1.06",".290","71.5%","45.4%","12.1%","92.5","4.52","","4.52","4.58","12.7","1267","120221"
"Orlando Hernandez","- - -","61","52","2","165","157","959.1","7.49","3.19","1.33",".270","73.8%","37.0%","10.3%","87.4","4.29","","4.58","4.41","12.7","823","133340"
"Anthony DeSclafani","- - -","54","56","0","180","169","942.2","7.92","2.40","1.29",".297","71.8%","42.7%","13.5%","94.0","4.20","","4.16","4.09","12.7","13050","543101"
"Russ Ortiz","- - -","91","76","0","256","220","1365.1","6.28","4.54","0.95",".286","70.9%","41.8%","9.6%","90.2","4.58","","4.62","4.95","12.6","1124","133460"
"Edinson Volquez","- - -","95","89","0","294","273","1546.1","7.70","4.28","0.93",".299","71.1%","48.3%","11.1%","94.5","4.45","","4.31","4.30","12.6","3990","450172"
"Tarik Skubal","DET","41","31","0","106","103","571.1","10.21","2.19","1.13",".281","75.3%","43.4%","12.9%","95.4","3.37","","3.38","3.34","12.5","22267","669373"
"Reynaldo Lopez","- - -","47","54","6","267","122","815.1","8.44","3.21","1.20",".282","73.6%","36.0%","10.8%","95.9","3.93","","4.20","4.61","12.5","16400","625643"
"Jon Niese","- - -","69","68","0","211","197","1189.1","6.92","2.78","0.99",".310","72.1%","50.1%","12.3%","90.8","4.07","","4.02","3.82","12.5","4424","477003"
"Logan Gilbert","SEA","41","30","0","121","121","704.1","9.09","1.92","1.16",".271","73.2%","39.6%","11.6%","96.0","3.60","","3.55","3.64","12.4","22250","669302"
"Scott Feldman","- - -","78","84","0","342","204","1386.1","5.73","2.85","1.05",".292","69.3%","47.1%","11.4%","89.2","4.43","","4.43","4.32","12.4","6283","444857"
"Eric Milton","- - -","74","60","0","205","204","1203.2","6.41","2.39","1.60",".282","69.1%","30.9%","11.5%","88.9","4.99","","4.82","4.80","12.3","743","132980"
"Brandon Morrow","- - -","51","43","40","334","113","859.0","9.19","3.86","0.92",".294","72.6%","39.6%","9.3%","95.0","3.96","","3.77","3.91","12.3","9346","453344"
"Francisco Cordero","- - -","45","51","329","780","0","805.2","8.68","3.99","0.69",".300","75.9%","42.9%","7.1%","94.9","3.38","","3.59","3.78","12.3","1243","150188"
"Ryan Madson","- - -","61","48","91","740","18","869.2","8.02","2.59","0.85",".302","75.9%","48.1%","10.4%","95.3","3.48","","3.57","3.62","12.3","1852","425492"
"Oliver Perez","- - -","74","94","5","702","195","1465.2","9.49","4.68","1.22",".294","73.5%","34.2%","11.0%","91.8","4.37","","4.49","4.47","12.3","1514","424144"
"Josh Hader","- - -","28","29","199","420","0","459.2","14.74","3.56","1.12",".245","81.9%","29.7%","13.5%","95.3","2.70","","2.85","2.80","12.2","14212","623352"
"Jason Jennings","- - -","62","74","1","225","180","1128.1","5.97","4.03","1.09",".309","70.7%","45.2%","11.7%","88.4","4.95","","4.75","4.64","12.2","434","407298"
"Joaquin Benoit","- - -","58","49","53","764","55","1068.2","8.91","3.68","1.09",".265","74.0%","36.1%","9.8%","94.7","3.83","","3.99","4.12","12.2","1437","276542"
"John Burkett","- - -","47","35","0","126","115","708.1","6.71","2.77","0.95",".307","71.0%","40.8%","10.9%","","4.29","","3.96","4.32","12.1","179","111734"
"Taijuan Walker","- - -","72","63","0","217","209","1154.1","7.81","3.06","1.29",".279","72.1%","43.3%","13.1%","94.2","4.19","","4.44","4.36","12.0","11836","592836"
"Hisashi Iwakuma","SEA","63","39","2","150","136","883.2","7.27","1.88","1.17",".279","77.9%","47.6%","13.4%","89.8","3.42","","3.87","3.60","12.0","13048","547874"
"Mark Melancon","- - -","37","40","262","732","0","726.2","7.96","2.38","0.54",".295","73.6%","55.3%","9.2%","93.3","2.94","","3.04","3.25","11.9","4264","453343"
"Andrew Heaney","- - -","51","62","0","203","185","1014.1","9.49","2.65","1.54",".297","73.4%","37.1%","14.7%","92.3","4.45","","4.37","4.06","11.9","15423","571760"
"Shaun Marcum","- - -","61","48","1","195","167","1030.0","7.30","2.74","1.22",".274","74.9%","38.2%","10.8%","87.4","3.93","","4.26","4.14","11.9","6204","451788"
"Nick Pivetta","- - -","56","71","3","223","178","1029.1","9.96","3.30","1.53",".301","71.7%","39.8%","15.5%","94.5","4.76","","4.36","3.97","11.9","15454","601713"
