"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid","mlbamid"
"Moises Alou","- - -","1023","4227","187","574","675","33","9.5%","9.9%",".214",".306",".310",".376",".524",".383","","130","-13.9","149.9","-41.0","24.1","261","110189"
"Jean Segura","- - -","1413","5937","110","737","513","211","5.4%","13.9%",".120",".313",".281",".327",".401",".316","","96","16.1","-10.5","55.7","24.0","5933","516416"
"Juan Pierre","- - -","1994","8280","18","1075","517","614","5.6%","5.8%",".066",".312",".295",".343",".361",".315","","86","89.4","-58.6","28.9","24.0","443","334393"
"Trevor Story","- - -","882","3700","177","528","530","123","8.3%","28.2%",".239",".331",".265",".332",".504",".352","","107","24.3","58.1","59.0","23.9","12564","596115"
"Aaron Rowand","- - -","1358","4817","136","613","536","67","5.4%","19.0%",".163",".316",".273",".330",".435",".333","","100","7.8","10.0","70.4","23.5","254","400023"
"Jeff Bagwell","HOU","833","3631","186","596","568","44","14.2%","18.0%",".248",".305",".285",".394",".534",".395","","135","0.2","168.4","-47.9","23.3","547","110432"
"Yunel Escobar","- - -","1434","5957","90","689","519","34","8.5%","11.5%",".104",".309",".282",".350",".386",".327","","103","-30.9","-9.1","41.1","23.2","4191","488862"
"Dan Uggla","- - -","1346","5509","235","759","706","26","11.4%","24.3%",".206",".283",".241",".336",".447",".341","","109","13.2","75.0","-17.6","23.2","3442","462564"
"Larry Walker","- - -","690","2773","121","469","456","40","13.7%","15.3%",".247",".340",".315",".421",".562",".418","","140","7.1","149.8","-7.2","23.0","455","123833"
"Orlando Cabrera","- - -","1786","7543","112","889","791","207","6.3%","9.0%",".116",".285",".273",".318",".388",".309","","83","27.4","-128.7","109.6","23.0","766","111851"
"Justin Morneau","- - -","1545","6392","247","772","985","5","9.0%","15.5%",".199",".299",".281",".348",".481",".353","","116","-24.0","104.2","-95.1","22.7","1737","408047"
"Paul Konerko","CHW","2126","8694","408","1070","1302","8","9.9%","14.7%",".210",".287",".280",".356",".490",".363","","120","-84.9","129.2","-198.3","22.7","242","117244"
"David Ross","- - -","883","2644","106","254","314","3","10.9%","27.8%",".195",".283",".229",".316",".423",".319","","92","-6.6","-30.7","166.5","22.5","1551","424325"
"Marlon Byrd","- - -","1574","6123","159","740","710","56","6.2%","20.2%",".155",".324",".275",".329",".430",".331","","102","6.0","17.9","2.0","22.4","950","407781"
"Casey Blake","- - -","1251","5050","166","638","615","36","8.8%","20.4%",".178",".305",".264",".337",".442",".337","","106","3.6","44.5","11.6","22.3","719","232694"
"Jason Kendall","- - -","1584","6698","44","749","537","118","8.2%","7.8%",".076",".300",".281",".356",".357",".321","","91","-6.4","-75.2","81.7","22.2","993","116974"
"Juan Uribe","- - -","1826","6715","199","724","816","48","5.8%","18.2%",".163",".286",".255",".301",".418",".311","","85","-5.5","-129.1","127.2","22.2","454","346874"
"Ramon Hernandez","- - -","1486","5543","166","567","736","8","7.4%","13.0%",".155",".276",".263",".326",".418",".324","","95","-27.8","-59.7","99.5","22.2","918","150421"
"Chone Figgins","- - -","1282","5360","35","708","403","341","10.1%","15.5%",".087",".326",".276",".349",".363",".320","","95","58.8","29.4","10.1","22.2","1580","408210"
"Brandon Nimmo","NYM","760","3050","87","424","281","26","13.0%","22.1%",".177",".333",".270",".380",".447",".362","","133","1.4","123.9","-5.6","22.1","12927","607043"
"Travis Hafner","- - -","1183","4782","213","619","731","11","12.5%","20.4%",".225",".308",".273",".376",".498",".374","","132","-10.7","179.0","-120.0","22.0","1573","400098"
"Starlin Castro","- - -","1573","6579","138","698","678","89","5.1%","16.8%",".132",".320",".280",".319",".412",".316","","97","-23.2","-50.8","57.7","22.0","4579","516770"
"Michael Bourn","- - -","1361","5323","36","678","361","341","8.4%","21.1%",".091",".339",".266",".329",".357",".306","","88","66.5","-10.2","52.3","21.6","6387","456422"
"Cody Bellinger","- - -","875","3539","178","529","519","82","10.4%","22.0%",".236",".285",".258",".335",".493",".346","","119","17.3","105.7","-6.4","21.6","15998","641355"
"Nomar Garciaparra","- - -","979","4042","133","580","596","42","6.9%","8.6%",".189",".308",".308",".359",".497",".365","","119","2.0","101.7","-17.6","21.5","190","114596"
"Jason Bay","- - -","1278","5258","222","737","754","95","12.1%","23.1%",".214",".313",".266",".360",".481",".363","","121","23.0","163.3","-118.9","21.5","1717","424726"
"Dansby Swanson","- - -","974","4025","124","514","491","67","8.8%","24.2%",".164",".311",".253",".322",".417",".317","","96","25.0","0.8","77.8","21.2","18314","621020"
"Rafael Devers","BOS","842","3614","172","529","555","29","8.1%","20.7%",".229",".315",".280",".343",".510",".358","","123","0.7","102.3","-12.0","21.2","17350","646240"
"Daniel Murphy","- - -","1452","5755","138","710","735","68","6.3%","12.3%",".159",".318",".296",".341",".455",".340","","113","3.5","90.7","-69.2","21.1","4316","502517"
"Orlando Hudson","- - -","1345","5413","93","648","542","85","8.9%","15.2%",".138",".310",".273",".341",".412",".330","","98","12.4","-2.5","34.6","21.1","1307","407861"
"Mike Napoli","- - -","1392","5330","267","697","744","39","12.2%","27.5%",".229",".299",".246",".346",".475",".355","","119","-15.2","101.9","-78.4","21.0","3057","435063"
"Cliff Floyd","- - -","1082","4232","182","598","630","90","10.4%","17.2%",".217",".305",".282",".367",".499",".368","","124","18.2","146.6","-73.3","20.9","518","114260"
"Darin Erstad","- - -","1183","4564","72","612","467","120","6.9%","14.2%",".114",".317",".282",".334",".395",".319","","91","21.2","-26.1","84.7","20.9","11","113889"
"Jason Kipnis","- - -","1165","4984","126","607","545","136","9.4%","19.1%",".156",".303",".260",".333",".416",".326","","103","28.6","47.8","-17.1","20.9","9776","543401"
"Ketel Marte","- - -","968","3953","107","508","420","54","8.7%","15.7%",".175",".310",".279",".344",".454",".341","","113","1.3","69.5","7.3","20.9","13613","606466"
"Aaron Hill","- - -","1559","6217","162","736","695","74","7.1%","13.6%",".151",".286",".266",".323",".417",".323","","96","10.5","-19.6","20.5","20.9","6104","431094"
"A.J. Pierzynski","- - -","2043","7778","188","803","905","15","3.9%","11.4%",".140",".296",".280",".318",".420",".319","","92","-65.4","-143.7","87.4","20.6","746","150229"
"Michael Conforto","- - -","882","3450","147","458","454","22","12.0%","23.7%",".204",".298",".253",".353",".457",".347","","121","5.1","96.1","-2.2","20.5","16376","624424"
"Jose Valentin","- - -","916","3549","159","494","473","58","9.4%","20.0%",".221",".268",".246",".320",".468",".336","","100","7.6","6.5","81.9","20.4","256","123610"
"Tyler Flowers","- - -","802","2776","86","267","301","2","8.2%","30.7%",".154",".324",".237",".319",".391",".313","","93","-15.1","-38.4","147.4","20.4","9134","452095"
"Yoenis Cespedes","- - -","834","3490","165","475","528","43","6.9%","21.3%",".224",".305",".273",".327",".497",".350","","124","10.3","108.4","-28.0","20.4","13110","493316"
"Jay Bruce","- - -","1650","6642","319","839","951","65","9.0%","23.7%",".224",".276",".244",".314",".467",".332","","106","1.8","49.6","-60.2","20.3","9892","457803"
"A.J. Pollock","- - -","1087","4152","145","575","485","122","7.0%","17.7%",".191",".302",".273",".328",".464",".339","","111","14.3","69.6","-8.3","20.3","9256","572041"
"Martin Prado","- - -","1458","5861","100","664","609","40","6.6%","11.5%",".125",".310",".287",".335",".412",".326","","103","-20.1","0.5","10.8","20.2","3312","445988"
"Neil Walker","- - -","1306","5152","149","611","609","32","8.9%","18.1%",".159",".303",".267",".338",".426",".333","","111","3.6","67.0","-37.0","20.0","7539","435522"
"Geoff Jenkins","- - -","1130","4476","191","585","623","26","8.1%","23.2%",".215",".322",".274",".345",".489",".354","","111","-10.2","53.3","3.8","20.0","690","132961"
"Charlie Blackmon","COL","1500","6326","215","937","749","142","7.0%","16.7%",".189",".329",".296",".355",".485",".359","","110","11.5","95.4","-103.7","20.0","7859","453568"
"Josh Reddick","- - -","1305","4879","146","597","575","61","8.1%","16.2%",".164",".287",".262",".321",".426",".322","","104","19.2","39.6","-13.2","19.9","3892","502210"
"Rich Aurilia","- - -","1218","4724","145","576","578","12","7.2%","14.0%",".163",".297",".277",".330",".441",".334","","100","-9.5","-5.3","54.0","19.9","1106","110383"
"Shohei Ohtani","LAA","716","2871","171","428","437","86","12.2%","26.3%",".282",".325",".274",".366",".556",".383","","146","10.9","167.0","-67.6","19.9","19755","660271"
"Whit Merrifield","- - -","1052","4531","90","588","470","201","6.2%","15.9%",".136",".321",".284",".330",".420",".322","","101","28.1","33.5","7.1","19.9","11281","593160"
"Raul Ibanez","- - -","2022","7916","293","1017","1164","45","8.7%","16.6%",".194",".297",".274",".337",".468",".345","","112","-9.6","105.2","-167.3","19.8","607","116380"
"Jed Lowrie","- - -","1307","5196","121","590","594","8","9.7%","17.2%",".149",".292",".257",".330",".406",".322","","103","-9.8","10.4","8.1","19.8","4418","476704"
"Jason Varitek","BOS","1315","5047","166","563","648","22","10.9%","21.5%",".177",".301",".255",".343",".431",".337","","100","-21.6","-21.5","47.6","19.6","217","123660"
"Adam Eaton","- - -","915","3910","66","566","319","87","8.8%","17.4%",".133",".327",".276",".354",".409",".335","","109","22.2","65.4","-3.7","19.5","11205","594809"
"Trot Nixon","- - -","953","3745","122","507","503","26","12.0%","16.3%",".190",".302",".275",".365",".464",".359","","116","-0.3","73.6","-4.8","19.4","204","119811"
"Dexter Fowler","- - -","1460","5902","127","817","517","149","12.5%","22.5%",".158",".326",".259",".358",".417",".341","","107","31.7","81.6","-80.7","19.4","4062","451594"
"Austin Jackson","- - -","1115","4653","65","621","381","114","8.0%","24.1%",".124",".355",".273",".333",".396",".321","","100","17.1","19.5","11.5","19.4","9848","457706"
"Ryan Howard","PHI","1572","6531","382","848","1194","12","10.9%","28.2%",".257",".309",".258",".343",".515",".361","","121","-37.8","137.5","-147.4","19.3","2154","429667"
"Shawn Green","- - -","1235","5197","209","727","694","86","10.4%","15.5%",".207",".300",".281",".361",".489",".363","","120","-9.3","127.6","-102.0","19.3","651","115094"
"Ozzie Albies","ATL","772","3369","131","497","455","76","6.7%","17.1%",".206",".295",".273",".325",".479",".340","","110","28.6","70.8","12.1","19.3","16556","645277"
"Kenny Lofton","- - -","1007","4237","67","676","369","189","9.6%","10.1%",".129",".306",".287",".357",".416",".340","","103","28.1","42.2","9.8","19.2","246","117863"
"Milton Bradley","- - -","1042","4181","125","541","481","88","11.9%","19.5%",".169",".317",".271",".364",".440",".352","","114","-7.1","64.3","-10.5","19.2","369","150396"
"Marco Scutaro","- - -","1391","5486","77","683","509","55","8.6%","10.4%",".111",".298",".277",".341",".388",".323","","96","2.1","-23.3","26.0","19.1","1555","340192"
"Chris Taylor","- - -","978","3538","104","473","408","84","9.5%","29.0%",".178",".342",".254",".331",".431",".329","","108","27.5","63.6","8.2","19.0","13757","621035"
"Angel Pagan","- - -","1124","4465","64","584","414","176","7.1%","14.3%",".128",".316",".280",".330",".408",".322","","102","38.6","50.0","-4.5","19.0","2918","434636"
"Pat Burrell","- - -","1640","6520","292","767","976","7","14.3%","24.0%",".219",".297",".253",".361",".472",".360","","117","-26.6","116.4","-138.7","19.0","949","150100"
"Max Muncy","- - -","847","3299","180","498","489","13","15.0%","24.5%",".246",".250",".227",".351",".473",".353","","124","11.2","110.8","-31.3","19.0","13301","571970"
"Josh Willingham","- - -","1147","4616","195","564","632","35","12.0%","22.4%",".212",".292",".253",".358",".465",".359","","122","0.3","122.0","-86.3","19.0","2103","425545"
"Byron Buxton","MIN","670","2487","115","364","297","86","7.0%","29.4%",".229",".298",".239",".300",".468",".325","","105","36.6","51.1","52.2","19.0","14161","621439"
"Carlos Pena","- - -","1493","5893","286","745","818","29","13.9%","26.8%",".231",".275",".232",".346",".462",".350","","117","2.7","128.1","-137.8","18.9","934","150289"
"Max Kepler","MIN","967","3852","153","511","466","34","10.1%","18.4%",".198",".253",".236",".319",".434",".323","","103","10.9","28.2","26.7","18.9","12144","596146"
"David Freese","- - -","1184","4229","113","481","535","8","8.7%","23.0%",".146",".344",".277",".351",".423",".340","","115","-32.5","43.2","5.3","18.9","9549","501896"
"Bret Boone","- - -","835","3613","146","485","559","55","8.2%","17.5%",".198",".300",".277",".340",".474",".348","","115","-3.6","65.0","2.5","18.7","1067","111214"
"Tim Anderson","CHW","895","3808","98","528","338","117","3.8%","23.2%",".141",".348",".282",".312",".422",".315","","98","17.1","10.0","44.6","18.7","15172","641313"
"Yordan Alvarez","HOU","482","2033","129","324","380","2","12.2%","21.5%",".293",".324",".295",".390",".588",".408","","166","-4.7","154.3","-38.9","18.6","19556","670541"
"Adam Kennedy","- - -","1658","5945","79","670","555","179","6.7%","14.0%",".111",".307",".272",".328",".383",".312","","88","10.3","-79.6","65.6","18.6","19","150456"
"Tommy Pham","- - -","1005","3901","130","559","431","119","11.6%","23.6%",".176",".317",".259",".351",".435",".340","","116","19.7","96.3","-43.7","18.5","2967","502054"
"Colby Rasmus","- - -","1092","4119","166","536","491","35","8.8%","26.9%",".195",".295",".241",".310",".436",".323","","102","26.2","35.7","8.6","18.5","9893","458675"
"Mike Piazza","- - -","931","3670","187","437","567","4","10.3%","15.0%",".227",".292",".285",".360",".512",".369","","125","-28.4","92.0","-21.8","18.5","893","120536"
"Jeff McNeil","NYM","672","2687","56","333","269","29","6.6%","11.4%",".140",".321",".298",".361",".438",".346","","123","2.8","78.3","17.2","18.5","15362","643446"
"Kelly Johnson","- - -","1399","5139","155","632","550","87","10.0%","22.3%",".171",".302",".251",".330",".422",".330","","102","10.0","21.9","-5.9","18.4","2234","430637"
"Kolten Wong","- - -","1189","4283","86","511","405","120","7.7%","16.0%",".133",".290",".256",".330",".390",".313","","97","28.3","15.1","24.9","18.4","12532","543939"
"Pablo Sandoval","- - -","1380","5052","153","548","639","12","7.1%","15.0%",".166",".300",".278",".330",".443",".332","","110","-34.0","24.2","-6.4","18.3","5409","467055"
"Mike Zunino","- - -","892","3098","149","326","372","2","7.1%","35.1%",".207",".259",".199",".271",".406",".293","","87","-6.5","-54.9","130.0","18.3","13265","572287"
"Erick Aybar","- - -","1454","5627","58","643","473","155","5.1%","11.9%",".101",".300",".271",".313",".372",".301","","88","18.8","-61.7","47.4","18.3","4082","430947"
"Frank Thomas","- - -","951","3983","220","526","664","4","14.8%","16.5%",".255",".277",".273",".387",".528",".391","","136","-35.7","150.7","-98.9","18.2","255","123245"
"Fernando Tatis Jr.","SDP","414","1810","106","301","273","81","9.5%","25.7%",".263",".328",".280",".353",".543",".375","","139","16.8","108.4","12.6","18.1","19709","665487"
"Alexei Ramirez","- - -","1371","5505","115","601","590","143","4.8%","11.8%",".122",".288",".270",".307",".392",".306","","87","4.9","-82.1","69.6","18.0","5133","493351"
"Yasiel Puig","- - -","861","3376","132","441","415","79","8.8%","20.2%",".198",".316",".277",".348",".475",".352","","124","-8.1","85.5","-20.9","18.0","14225","624577"
"Rickie Weeks Jr.","- - -","1324","5112","161","733","474","132","10.4%","24.1%",".174",".304",".246",".344",".420",".338","","106","21.8","61.1","-45.3","18.0","1849","430001"
"Francisco Cervelli","- - -","730","2618","41","281","275","17","10.3%","19.3%",".114",".327",".268",".358",".382",".329","","105","-9.0","5.3","81.9","18.0","5275","465041"
