"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","playerid"
"Nicky Lopez","Royals","159","594","3","59","43","1","6.1%","15.5%",".078",".269",".228",".279",".307",".258","55","85.0","-2.6","-36.1","8.8","-0.4","19339"
"Magneuris Sierra","- - -","110","315","0","33","20","12","5.4%","21.9%",".038",".323",".247",".290",".285",".255","58","84.1","3.4","-12.7","-0.8","-0.4","17023"
"Brandon Drury","- - -","456","1620","47","154","176","2","5.9%","21.8%",".164",".292",".248",".296",".411",".302","81","87.8","-3.8","-41.5","-16.1","-0.4","11615"
"Cedric Mullins II","Orioles","115","418","7","46","27","10","6.9%","21.1%",".118",".275",".225",".290",".342",".279","71","88.1","3.4","-11.7","-5.9","-0.5","17929"
"Kyle Lohse","- - -","197","370","0","16","18","0","1.6%","28.6%",".019",".221",".148",".166",".167",".150","-17","81.3","-0.2","-50.1","34.4","-0.5","739"
"Milton Bradley","Mariners","101","393","10","40","42","12","10.4%","27.0%",".142",".268",".209",".298",".351",".290","83","","4.3","-3.4","-14.7","-0.5","369"
"Wilin Rosario","Rockies","447","1601","71","204","241","11","4.6%","22.1%",".200",".311",".273",".306",".473",".334","94","88.3","-6.4","-16.7","-36.6","-0.5","8002"
"Brandon Dixon","- - -","197","558","20","55","64","5","5.0%","32.8%",".182",".307",".228",".271",".410",".286","75","89.7","1.1","-16.4","-7.8","-0.5","15214"
"Jim Adduci","- - -","151","431","5","48","39","7","6.7%","25.8%",".104",".307",".232",".283",".336",".272","66","86.9","3.9","-13.0","-6.0","-0.5","6448"
"Clint Robinson","- - -","243","590","15","63","62","0","9.8%","15.8%",".127",".284",".257",".336",".384",".316","96","88.9","-5.0","-8.4","-15.1","-0.5","6908"
"Melvin Mora","- - -","155","489","7","44","61","2","6.7%","15.7%",".111",".309",".269",".326",".379",".312","80","","-2.7","-13.8","-5.9","-0.5","157"
